text,AE
Hepatotoxicity related to itraconazole: report of three cases.,['Hepatotoxicity']
METHODS: Three patients with apparent itraconazole-induced liver injury were studied.,['liver injury']
The occurrence of acute hepatitis is best known for ketoconazole.,['hepatitis']
"We report on three patients who developed acute liver damage during therapy with itraconazole, and in whom liver biopsy specimens were obtained.",['liver damage']
We suggest that itraconazole should be added to the list of drugs that may be responsible for a drug-induced vanishing bile duct syndrome.,['vanishing bile duct syndrome']
"With itraconazole, hepatotoxic reactions have only very rarely been reported, and histologic data are lacking.",['hepatotoxic']
Thrombotic stroke associated with the use of porcine factor VIII in a patient with acquired haemophilia.,['Thrombotic stroke']
We have recently encountered a patient with acquired haemophilia who developed a thrombotic left middle cerebral artery distribution stroke while being treated with pFVIII.,['thrombotic left middle cerebral artery distribution stroke']
We speculate that platelet activation induced by pFVIII may have contributed to thrombosis and suggest that pFVIII be used with caution in elderly patients with pre-existing cardiovascular risk factors.,['thrombosis']
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.,"['Cutaneous sarcoidosis', 'Cutaneous sarcoidosis']"
There have been more than 20 observations of the appearance or aggravation of this granulomatosis with interferon alfa and more recently with the combination of interferon alfa plus ribavirin.,"['granulomatosis', 'granulomatosis', 'granulomatosis']"
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,"['sarcoidosis', 'sarcoidosis']"
"CONCLUSIONS: Although mirtazapine offers clinicians a combination of strong efficacy and good safety, we suggest bearing SS in mind when prescribing this drug, especially in frail, elderly patients with underlying chronic conditions.",['SS']
DISCUSSION: A review of the cases of SS with implication of mirtazapine as the cause was performed.,['SS']
"OBJECTIVE: To document a case of serotonin syndrome (SS) associated with mirtazapine monotherapy, review the previously reported cases of SS associated with this tetracyclic antidepressant, and discuss the possible pathogenic mechanisms leading to this serious adverse drug reaction.","['serotonin syndrome', 'SS']"
Severe serotonin syndrome induced by mirtazapine monotherapy.,['serotonin syndrome']
Pulmonary toxicity secondary to procarbazine.,['Pulmonary toxicity']
A 64-year-old man presented with proteinuria during postoperative interferon (IFN)-beta therapy against malignant melanoma.,['proteinuria']
Minimal change nephrotic syndrome developing during postoperative interferon-beta therapy for malignant melanoma.,['Minimal change nephrotic syndrome']
To our knowledge this is the first report that demonstrates histological abnormalities of the glomerulus associated with postoperative IFN-beta therapy for the malignant melanoma.,['histological abnormalities of the glomerulus']
"The authors report two cases of delayed elimination of methotrexate in patients receiving ciprofloxacin, with severe toxicity.","['delayed elimination', 'delayed elimination', 'toxicity']"
CONCLUSIONS: Clinicians should be aware of the possible association of thrombocytopenia with lansoprazole and discontinue the drug if thrombocytopenia becomes apparent.,['thrombocytopenia']
"DISCUSSION: After exclusion of other causes, the onset of thrombocytopenia after administration of lansoprazole, the resolution of the adverse reaction after discontinuation of the drug, and the fact that no other medicines were introduced during this time frame lead us to believe that this was most likely an idiosyncratic thrombocytopenic response to lansoprazole.","['thrombocytopenia', 'thrombocytopenic']"
"He was started on oral lansoprazole 60 mg twice daily and, on hospital day 2, his platelet count decreased to 102 x 10(3)/mm(3); on hospital day 3, the platelet count was 36 x 10(3)/mm(3).",['platelet count decreased']
Lansoprazole-induced thrombocytopenia.,['thrombocytopenia']
OBJECTIVE: To describe a case of thrombocytopenia associated with the administration of lansoprazole.,['thrombocytopenia']
"To date, this is the first reported case of what appears to be isolated thrombocytopenia associated with lansoprazole.",['thrombocytopenia']
Life-threatening anaphylactoid reaction to amifostine used with concurrent chemoradiotherapy for nasopharyngeal cancer in a patient with dermatomyositis: a case report with literature review.,['anaphylactoid reaction']
"The most common side effects associated with amifostine are nausea, vomiting, hypotension, hypocalcemia and allergic reactions.","['allergic reactions', 'hypocalcemia', 'hypotension', 'nausea', 'vomiting']"
The patient suffered a life-threatening anaphylactoid reaction to amifostine.,['life-threatening anaphylactoid reaction']
Agranulocytosis during clozapine therapy.,['Agranulocytosis']
Granulocytopenia and agranulocytosis are considered among the most dangerous adverse effects of clozapine.,"['agranulocytosis', 'Granulocytopenia']"
"The female patient received clozapine in a daily dose of 400 mg, which induced agranulocytosis after 2 months.",['agranulocytosis']
The male patient was treated with 225-mg/day clozapine and the time to the diagnosis of agranulocytosis was 6 weeks.,['agranulocytosis']
A 53-year-old man developed NMS without rigidity while taking olanzapine.,['NMS']
Atypical neuroleptic malignant syndrome associated with olanzapine.,['neuroleptic malignant syndrome']
"CASE SUMMARY: We report the case of a 31-year-old patient hospitalized due to behavioral alterations and treated with oral zuclopenthixol, an antipsychotic from the thioxanthene family, who developed an acute, painful erection.",['painful erection']
"CONCLUSIONS: Priapism is an uncommon but potentially serious adverse effect of zuclopenthixol that practitioners, as with many other antipsychotics, should be aware of.",['Priapism']
DISCUSSION: The occurrence of priapism in our patient was related to zuclopenthixol.,['priapism']
OBJECTIVE: To present a single case of zuclopenthixol-induced priapism and a literature review.,['priapism']
Priapism associated with zuclopenthixol.,['Priapism']
The capacity of zuclopenthixol to induce priapism is thought to be due to its antagonist activity on alpha-adrenergic receptors.,['priapism']
"After identification of the index patient, additional inquiry revealed that the patient's mother was hospitalized previously for overwhelming sepsis associated with metamizole use.",['sepsis']
"Metamizole, a nonsteroidal antiinflammatory agent, is prohibited in the United States because of the risk of agranulocytosis but is widely used in Mexico and other countries.",['agranulocytosis']
Erythropoietin is beneficial in mitomycin-induced hemolytic-uremic syndrome.,['hemolytic-uremic syndrome']
We describe a patient who developed HUS after treatment with mitomycin C (total dose 144 mg/m2) due to a carcinoma of the ascending colon.,['HUS']
Levofloxacin-induced toxic epidermal necrolysis in an elderly patient.,['toxic epidermal necrolysis']
"To our knowledge, this case is the first published report of levofloxacin-induced TEN.",['TEN']
"A 31-year-old female developed multiple episodes of grand mal seizures after combination chemotherapy with cisplatin, vinblastine and bleomycin for germ cell ovarian cancer stage Ic.","['grand mal seizures', 'grand mal seizures', 'grand mal seizures']"
"Posterior leukoencephalopathy following cisplatin, bleomycin and vinblastine therapy for germ cell tumor of the ovary.","['Posterior leukoencephalopathy', 'Posterior leukoencephalopathy', 'Posterior leukoencephalopathy']"
"After 5 days of treatment with IL-2, the patient developed a hemorrhagic lesion that progressed to toxic epidermal necrolysis, as well as grade 4 pancytopenia.","['hemorrhagic lesion', 'pancytopenia', 'toxic epidermal necrolysis']"
OBJECTIVE: To report a case of cutaneous and hematologic toxicity in a patient treated with IL-2.,['cutaneous and hematologic toxicity']
"Subcutaneous IL-2 is safe and well tolerated, with a mortality rate <3%.",['mortality rate <3']
Toxic epidermal necrolysis associated with interleukin-2.,['Toxic epidermal necrolysis']
"A case of anaphylactoid reaction due solely to the use of Gelofusine in a patient with non-haemorrhagic hypovolaemia is presented, with a discussion on the management and the use of allergy identification jewellery.",['anaphylactoid reaction']
Gelofusine allergy--the need for identification jewellery.,['Gelofusine allergy']
"The authors describe valproate-induced hyperammonemia and mental status changes in an 88-year-old man, the first known reported case in an elderly patient.","['hyperammonemia', 'mental status changes']"
Valproate-induced hyperammonemia as a cause of altered mental status.,"['altered mental status', 'hyperammonemia']"
Leiomyosarcoma in urinary bladder after cyclophosphamide therapy for retinoblastoma and review of bladder sarcomas.,['Leiomyosarcoma']
"The epivodes of NMS occured under treatment with clozapine, risperidone, and amisulpride.","['NMS', 'NMS', 'NMS']"
A 73-year-old woman presented with fever and cough 2 weeks after completing the third cycle of fludarabine for chronic lymphocytic leukemia (CLL).,"['cough', 'fever']"
Fludarabine induced lung toxicity must be considered in all patients who develop unexplained lung disease while receiving fludarabine.,"['lung disease', 'lung disease', 'lung toxicity']"
Multiple pulmonary nodules: an unusual presentation of fludarabine pulmonary toxicity: case report and review of literature.,"['Multiple pulmonary nodules', 'pulmonary toxicity']"
This case extends the spectrum of fludarabine pulmonary toxicity to include pulmonary nodules.,"['pulmonary nodules', 'pulmonary toxicity']"
"To our knowledge, four cases of interstitial pneumonitis associated with fludarabine have been reported in medical literature.",['interstitial pneumonitis']
Epoprostenol may be associated rarely with severe erythroderma.,['erythroderma']
Severe erythroderma as a complication of continuous epoprostenol therapy.,['erythroderma']
"We report a case of a patient with pulmonary hypertension and undifferentiated connective tissue disease who, after 2 months of treatment with epoprostenol, presented with rapidly progressive erythema, scaling, nausea and vomiting, and fever.","['fever', 'nausea', 'rapidly progressive erythema', 'scaling', 'vomiting']"
"A 50-year-old diabetic and hypertensive male patient is reported who had ticlopidine-induced marrow aplasia partially responsive to colony-stimulating factors and corticosteroids, but experienced complete recovery with cyclosporine.",['marrow aplasia']
There is no consensus on the treatment of ticlopidine-induced marrow aplasia.,['marrow aplasia']
Ticlopidine-induced marrow aplasia treated with cyclosporine.,['marrow aplasia']
A 53-year-old man developed lower leg edema 4 weeks after rosiglitazone was increased from 4 mg once/day to 4 mg twice/day.,['lower leg edema']
A 75-year-old man developed bilateral lower leg edema 6 months after switching from troglitazone to pioglitazone.,['bilateral lower leg edema']
"A 77-year-old man developed ankle, hand, and facial swelling 2 weeks after starting rosiglitazone.","['ankle, hand, and facial swelling']"
Two cases of polymorphic ventricular tachycardia induced by the administration of verapamil against paroxysmal supraventricular tachycardia.,['polymorphic ventricular tachycardia']
Verapamil is widely used for the termination of paroxysmal supraventricular tachycardia (PSVT) with little proarrhythmic effect.,['proarrhythmic effect']
We describe two cases of PSVT that changed to non-sustained polymorphic ventricular tachycardia after administration of verapamil.,['non-sustained polymorphic ventricular tachycardia']
Epsilon-aminocaproic acid and renal complications: case report and review of the literature.,['renal complications']
Neonatal mydriasis: intravenous lidocaine adverse reaction.,['mydriasis']
We present a neonate with a seizure disorder who acutely developed pupillary mydriasis secondary to lidocaine overdose.,['pupillary mydriasis']
We suggest adding this side effect to the list of untoward effects of lidocaine and to the differential diagnosis of fixed dilated pupils in neonates treated with lidocaine.,['dilated pupils']
Myelodysplasia terminating in acute myeloid leukemia in a hairy cell leukemia patient treated with 2-deoxycoformycin.,"['acute myeloid leukemia', 'Myelodysplasia']"
"To the best of our knowledge only two previous cases of AML have been linked to treatment of HCL with purine analogs, both with 2-chlorodeoxyadenosine.",['AML']
CONCLUSIONS: Peripheral administration of low-dose vasopressin for septic shock should be discouraged because of the risk of ischemic skin complications.,['ischemic skin complications']
OBJECTIVE: To describe a case of severe skin necrosis resulting from peripheral intravenous administration of low-dose vasopressin in a patient with catecholamine-resistant septic shock.,['skin necrosis']
Skin necrosis after extravasation of low-dose vasopressin administered for septic shock.,['Skin necrosis']
Mitomycin-C induced hemolytic uremic syndrome: a case report.,['hemolytic uremic syndrome']
Mitomycin-C is used widely in the treatment of malignancies and is associated with serious dose related adverse effects including the occurrence of hemolytic uremic syndrome.,['hemolytic uremic syndrome']
"Although vasculitis has been reported in the course of hairy cell leukaemia, it has only rarely been reported as the consequence of cladribine treatment.",['vasculitis']
Systemic vasculitis complicating hairy cell leukaemia treatment with cladribine.,['Systemic vasculitis']
We describe a 73-year-old woman who developed serious systemic vasculitis with associated thrombocytopenia in the course of treatment with cladribine.,"['systemic vasculitis', 'thrombocytopenia']"
Drug-induced mammary hyperplasias have been reported as rare complications of D-penicillamine and Neothetazone.,"['mammary hyperplasias', 'mammary hyperplasias']"
Gigantomastia induced by bucillamine.,['Gigantomastia']
"Retrospectively, bucillamine was believed to be the cause of the giant hypertrophy because of its structural similarity to D-penicillamine, which was the subject of an abundance of reports of mammary hyperplasia.","['giant hypertrophy', 'mammary hyperplasia']"
The authors report the first case of bucillamine-induced giant mammary hyperplasia.,['giant mammary hyperplasia']
The authors describe three families in whom the occurrence of FVS in all the siblings strongly suggests hereditary susceptibility to valproic acid-induced adverse outcome.,['FVS']
"The fetal valproate syndrome (FVS) is characterized by distinctive facial appearance, major and minor malformations, and developmental delay.","['developmental delay', 'distinctive facial appearance', 'fetal valproate syndrome', 'FVS', 'major and minor malformations']"
Valproate embryopathy in three sets of siblings: further proof of hereditary susceptibility.,['Valproate embryopathy']
Generalised pustular psoriasis induced by cyclosporin a withdrawal responding to the tumour necrosis factor alpha inhibitor etanercept.,['Generalised pustular psoriasis']
"We report a 50-year-old male patient with a 15-year history of psoriasis including mutilating psoriatic arthritis, in whom the withdrawal of cyclosporin A induced a generalised pustular exacerbation and a aggravation of the joint condition.","['aggravation of the joint condition', 'generalised pustular exacerbation']"
The first case concerns a 70-year-old man who developed severe aplastic anemia 7 weeks after treatment with 500 mg of ticlopidine daily.,['aplastic anemia']
"The second was an 82-year-old man receiving ticlopidine for 2 years when, during a febrile episode, he was found neutropenic with marrow aplasia.","['marrow aplasia', 'neutropenic']"
Ticlopidine-induced aplastic anemia (TIAA) is considered very uncommon.,"['aplastic anemia', 'TIAA']"
"Ticlopidine-induced aplastic anemia: two new case reports, review, and meta-analysis of 55 additional cases.",['aplastic anemia']
"When the data of the 57 patients are evaluated, a reversible direct cytotoxic effect of ticlopidine on the pluripotent/bipotent hematopoietic progenitor stem cell is proposed.",['cytotoxic effect']
Fixed drug eruption to rofecoxib.,['Fixed drug eruption']
"Rofecoxib, used for dysmenorrhea, caused a herpetiform fixed drug eruption predominantly involving the lips with classic clinical and histological findings in a red-brown lesion on the dorsal hand.","['herpetiform fixed drug eruption', 'red-brown lesion']"
"BACKGROUND: Gemcitabine has mild renal toxicity, but cases of gemcitabine-associated hemolytic-uremic syndrome (HUS) have been reported.","['hemolytic-uremic syndrome', 'hemolytic-uremic syndrome', 'HUS', 'HUS', 'renal toxicity']"
CONCLUSION: There are only a few confirmed cases of gemcitabine-associated HUS despite the widespread use of the drug.,['HUS']
Gemcitabine-associated hemolytic-uremic syndrome.,['hemolytic-uremic syndrome']
METHODS: A case is presented of a 45-year-old woman on prolonged gemcitabine treatment for ovarian cancer who developed HUS and recovered after drug discontinuation.,['HUS']
"Mean time between initiation of gemcitabine therapy and onset of HUS was 7.4 +/- 3.5 months, or 21.9 +/- 10.9 doses of gemcitabine.","['HUS', 'HUS']"
"RESULTS: Including our own patient, a total of 26 cases of gemcitabine-associated HUS were identified.",['HUS']
An amiodarone optic neuropathy has been described.,['optic neuropathy']
Biomicroscopy revealed amiodarone corneal deposits.,['corneal deposits']
"CASE REPORT: Soon after initiation of amiodarone HCl (200 mg/day), a 76-year-old man came to us with symptoms of visual ""shining,"" glare, color vision anomalies, and gradually decreased vision.","['color vision anomalies', 'decreased vision', 'glare', 'visual ""shining']"
Visual changes secondary to initiation of amiodarone: a case report and review involving ocular management in cardiac polypharmacy.,['Visual changes']
"While both amiodarone and digoxin can cause permanent visual changes, the ocular effects are often reversible.","['ocular effects', 'ocular effects', 'visual changes', 'visual changes']"
CONCLUSION: Long-term treatment with rifabutin may have a reversible and previously undescribed side-effect on retinal function.,['side-effect on retinal function']
PURPOSE: To describe the clinical and electrophysiological findings in a young boy with decreased vision possibly due to retinal damage by rifabutin.,"['decreased vision', 'retinal damage']"
Retinal dysfunction and anterior segment deposits in a patient treated with rifabutin.,"['anterior segment deposits', 'Retinal dysfunction']"
We suggest that objective evaluation of retinal function with electrophysiological methods should be performed in patients with visual disturbance during treatment with rifabutin.,['visual disturbance']
"A case is presented of a patient who experienced benzodiazepine withdrawal symptoms on discontinuation of nefazodone, an antidepressant that inhibits the cytochrome P450 3A4 isoenzyme.",['benzodiazepine withdrawal symptoms']
A case of SIADH induced by mizoribin administration.,['SIADH']
"ADH hypersecretion in relation to plasma osmolality was reversed by mizoribin withdrawal, suggesting that bredinin might adversely induce SIADH.","['ADH hypersecretion', 'SIADH']"
"In summary, we report herein the first case of SIADH believed to be an adverse effect of mizoribin, which may therefore needed to be added to the list of drugs which can induce SIADH.","['SIADH', 'SIADH']"
We describe a 74-year-old man with rheumatoid arthritis (RA) who developed syndrome of inappropriate secretion of antidiuretic hormone (SIADH) 1.5 months after commencement of mizoribin prescription when his arthritis was improved.,"['SIADH', 'syndrome of inappropriate secretion of antidiuretic hormone']"
"The disease-modifying drugs he was taking, cyclosporin and methotrexate, were stopped, and the lymphoma resolved spontaneously without the use of chemotherapy.","['lymphoma', 'lymphoma']"
Acute onset of nephrotic syndrome during interferon-alpha retreatment for chronic active hepatitis C.,['nephrotic syndrome']
We herein report this rare case of acute onset of nephrotic syndrome during interferon-alpha retreatment.,['nephrotic syndrome']
"A 21-year-old man with Tourette's syndrome, pedophilia, Asperger's syndrome, and multiple sclerosis experienced seizures after receiving therapy with interferon beta-1a.",['seizures']
"Seizures and extrapyramidal symptoms in a patient with Tourette's syndrome, Asperger's syndrome, and multiple sclerosis treated with interferon beta-1a and clomipramine.","['extrapyramidal symptoms', 'extrapyramidal symptoms', 'Seizures', 'Seizures']"
A 68-year-old female patient with advanced ovarian carcinoma collapsed whilst receiving a carboplatin and cyclophosphamide infusion.,"['collapsed', 'collapsed']"
Carboplatin hypersensitivity presenting as coronary vasospasm - a case report.,['coronary vasospasm']
Hypersensitivity to carboplatin is a rare but real complication of therapy and should be considered in patients presenting with hyperacute changes on ECG whilst receiving carboplatin therapy.,"['hyperacute changes on ECG', 'Hypersensitivity']"
CONCLUSIONS: The use of fluorouracil treatment with careful monitoring can be considered in a patient with mild allergic reactions to capecitabine.,['allergic reactions']
Capecitabine was discontinued and the allergic reactions resolved after the woman took diphenhydramine for 1 week.,['allergic reactions']
Fluorouracil for allergic reactions to capecitabine.,['allergic reactions']
"It was postulated that the allergic reaction was most likely caused by capecitabine or the intermediate metabolites based on the immediate reappearance of symptoms from the rechallenge, pharmacokinetic data, and well-tolerance of fluorouracil.",['allergic reaction']
OBJECTIVE: To report the safe use of fluorouracil in a patient with breast cancer who had allergic reactions to capecitabine.,['allergic reactions']
"She developed a generalized rash and itching, sore throat, and dizziness approximately 4 hours after the first dose of capecitabine.","['dizziness', 'generalized rash', 'itching', 'sore throat']"
"After five and six weeks of continuous oral administration of methylprednisolone, the boys developed steroid diabetes.",['steroid diabetes']
Reduction of methylprednisolone dosage rather than insulin therapy resulted in better control of glycemia.,['glycemia']
"Contrary to previous recommendations, our experience cautions against the further use of high-dose cytarabine in patients who develop PPE, and is a timely reminder of the potential toxicity of this agent, which is now increasingly being used as first-line treatment in the management of haematologic malignancies.",['PPE']
It has been suggested that PPE caused by cytarabine does not recur with subsequent cytarabine re-challenge.,['PPE']
Recurrent palmar-plantar erythrodysaesthesia following high-dose cytarabine treatment for acute lymphoblastic leukemia.,['palmar-plantar erythrodysaesthesia']
"We report a patient with recurrent, increasingly severe episodes of PPE, ultimately complicated by a severe bullous eruption, following successive cycles of high-dose cytarabine for the treatment of acute lymphoblastic leukaemia.","['bullous eruption', 'PPE']"
Atypical endometriosis may act as a precancerous lesion in the process of tamoxifen-induced malignant transformation of endometriosis.,['malignant transformation of endometriosis']
BACKGROUND: Ovarian cancer arising from an endometriotic cyst in a postmenopausal woman under tamoxifen therapy is rare.,['Ovarian cancer']
CONCLUSION: Tamoxifen may cause malignant transformation of endometriosis through atypical endometriosis even in the postmenopausal state.,['malignant transformation of endometriosis']
Ovarian endometrioid adenocarcinoma arising from an endometriotic cyst in a postmenopausal woman under tamoxifen therapy for breast cancer: a case report.,['Ovarian endometrioid adenocarcinoma']
"Clinical, spectroscopic, and imaging abnormalities resolved with discontinuation of metronidazole.","['Clinical, spectroscopic, and imaging abnormalities']"
Proton MRS examination demonstrated a persistent lactate elevation during metronidazole treatment.,['lactate elevation']
Reversible MR imaging and MR spectroscopy abnormalities in association with metronidazole therapy.,['Reversible MR imaging and MR spectroscopy abnormalities']
After nine previous uncomplicated cycles she developed severe anaphylaxis to cisplatin.,['anaphylaxis']
Anaphylaxis to cisplatin following nine previous uncomplicated cycles.,['Anaphylaxis']
Anaphylaxis to cisplatin is an infrequent life-threatening complication which may occur even in patients who have received prior treatment with cisplatin.,['Anaphylaxis']
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.","['increasing the hepatic toxicity', 'increasing the hepatic toxicity', 'increasing the hepatic toxicity']"
"Although isradipine has been associated with hepatocellular injury, there are no reports of fulminant liver failure with this agent, and our patient had been treated for >2 years without signs of toxicity.",['hepatocellular injury']
CASE SUMMARY: A 58-year-old white woman developed fulminant liver failure while being treated with the macrolide antibiotic clarithromycin for pneumonia.,['fulminant liver failure']
CONCLUSIONS: Clarithromycin may be a cause of fulminant liver failure either alone or by inhibiting the metabolism of other drugs.,['fulminant liver failure']
Fulminant liver failure associated with clarithromycin.,['Fulminant liver failure']
OBJECTIVE: To report a patient developing fulminant liver failure while being treated with clarithromycin for pneumonia.,['fulminant liver failure']
"The most likely cause of liver failure in this patient was, therefore, clarithromycin, which undergoes hepatic metabolism and has been reported to cause fulminant hepatic failure.","['fulminant hepatic failure', 'liver failure']"
A paradoxical ocular effect of brimonidine.,['paradoxical ocular effect']
CONCLUSION: Under certain circumstances topical brimonidine can cause paradoxical raised IOP necessitating vigilance in follow-up of patients on topical brimonidine.,['paradoxical raised IOP']
PURPOSE: We report an unusual paradoxical effect of brimonidine.,['paradoxical effect']
"RESULTS: Brimonidine was observed to cause IOP elevation, confirmed on rechallenge, scoring 8 (strong probability) on an adverse drug reaction probability score.",['IOP elevation']
"Although gabapentin withdrawal has been previously reported and usually consists of anxiety, diaphoresis, and palpitations, this is the first reported patient with generalized seizures and status epilepticus secondary to gabapentin withdrawal.","['anxiety', 'diaphoresis', 'generalized seizures', 'generalized seizures', 'palpitations', 'status epilepticus', 'status epilepticus']"
Gabapentin withdrawal presenting as status epilepticus.,['status epilepticus']
"Although visual hallucinations have not been reported as an adverse effect of this agent, we describe three patients who experienced complex visual hallucinations and altered mental status after zonisamide treatment was begun or its dosage increased.","['altered mental status', 'visual hallucinations']"
Visual hallucinations associated with zonisamide.,['Visual hallucinations']
Doxycycline-induced hypoglycemia in a nondiabetic young man.,['hypoglycemia']
We report the first case of doxycycline-induced hypoglycemia in a young nondiabetic man.,['hypoglycemia']
"For patients who suffer from osteogenic sarcoma and have anaphylactic reactions to MTX, this desensitization protocol will allow these patients to continue with needed therapeutic or palliative chemotherapy.",['anaphylactic reactions']
"He had an immediate hypersensitivity reaction during the initiation of the MTX infusion with diffuse urticaria, facial swelling, cough, and chest tightness.","['chest tightness', 'cough', 'diffuse urticaria', 'facial swelling', 'hypersensitivity reaction']"
He was later skin tested to confirm allergy to MTX.,['allergy']
Successful desensitization to high-dose methotrexate after systemic anaphylaxis.,['systemic anaphylaxis']
The successful development and implementation of this protocol will have impact on patients who have anaphylactic reactions to MTX but require this medication for specific diseases.,['anaphylactic reactions']
The authors report a case of Balint syndrome with irreversible posterior leukoencephalopathy on MRI following intrathecal methotrexate and cytarabine.,"['Balint syndrome', 'Balint syndrome', 'posterior leukoencephalopathy', 'posterior leukoencephalopathy']"
We present a unique case of GTBM in a patient with myeloma following treatment with Melphalan.,['GTBM']
Patients with lymphoblastic lymphoma who had treatment with L-asparaginase and steroid are predisposed to the development of cortical venous thrombosis and may have this syndrome in addition to a dural puncture headache.,"['cortical venous thrombosis', 'dural puncture headache']"
Interstitial pneumonitis associated with sirolimus: a dilemma for lung transplantation.,['Interstitial pneumonitis']
"Rapamycin/sirolimus (SR), trade named Rapammune (Wyeth-Ayerst, Sydney, Australia), is a potent immunosuppressive drug associated with myelosuppression, hypertension, hyperlipidemia, and infection.","['hyperlipidemia', 'hyperlipidemia', 'hyperlipidemia', 'hyperlipidemia', 'hypertension', 'hypertension', 'hypertension', 'hypertension', 'infection', 'infection', 'infection', 'infection', 'myelosuppression', 'myelosuppression', 'myelosuppression', 'myelosuppression']"
"Rapamycin/sirolimus-induced pneumonitis has been described previously in renal transplant recipients, and this report describes a stable heart-lung transplant recipient who developed a pulmonary infiltrate that reversed after ceasing SR therapy.","['pneumonitis', 'pneumonitis', 'pulmonary infiltrate', 'pulmonary infiltrate', 'pulmonary infiltrate']"
"A 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium.","['fever', 'fever', 'generalized rigidity', 'generalized rigidity', 'increased serum transaminase and creatine kinase', 'increased serum transaminase and creatine kinase', 'leukocytosis', 'leukocytosis']"
Concomitant administration of lithium with olanzapine may place patients at risk for NMS.,"['NMS', 'NMS']"
Neuroleptic malignant syndrome in an adolescent receiving olanzapine-lithium combination therapy.,"['Neuroleptic malignant syndrome', 'Neuroleptic malignant syndrome']"
Both 6-MP and AZA are widely used and are known to cause hepatotoxicity in a proportion of patients.,"['hepatotoxicity', 'hepatotoxicity']"
Hepatotoxicity associated with 6-thioguanine therapy for Crohn's disease.,['Hepatotoxicity']
This case highlights the need to monitor liver enzymes in patients treated with 6-TG and identifies the need for additional research focused on the mechanism of thiopurine-induced hepatic injury.,['hepatic injury']
"We believe the temporal association of the abnormal liver enzymes in this patient, in the absence of other offending agents, argues strongly in favor of 6-TG as a cause of liver enzyme abnormalities.","['abnormal liver enzymes', 'liver enzyme abnormalities']"
We describe a case of significant elevation of serum transaminases in a patient treated with 6-TG for a flare of Crohn's disease.,['elevation of serum transaminases']
Early peritoneal dialysis has not previously been reported for lisinopril induced multiorgan failure.,['multiorgan failure']
We observed transient panhypogammaglobulinaemia in a patient with neuropsychiatric SLE after treatment with prednisolone and cyclophosphamide.,"['panhypogammaglobulinaemia', 'panhypogammaglobulinaemia']"
The diagnosis of hypothermia was delayed until it was apparent for several days but resolved with the discontinuation of risperidone and continuation of clozapine.,['hypothermia']
"This is a case report of subtle, mild hypothermia in a 54-year old female patient receiving risperidone for schizophrenia.",['hypothermia']
"Akathisia is a relatively rare side effect with the newer atypical antipsychotic agents, particularly clozapine, and is easily misdiagnosed in children.",['Akathisia']
Clozapine-induced akathisia in children with schizophrenia.,['akathisia']
Two cases of childhood-onset schizophrenia associated with clozapine-induced akathisia responsive to beta-blocker treatment are described.,['akathisia']
After reviewing the literature we suggest the CPM was a complication of lithium toxicity which affected the lateral geniculate nucleus which produced blindness.,"['blindness', 'CPM']"
Central pontine myelinolysis manifested by temporary blindness: a possible complication of lithium toxicity.,"['Central pontine myelinolysis', 'temporary blindness']"
Antithyroid treatment with propylthiouracil (PTU) resulted in elevated hepatic enzymes and after the 12th week of pregnancy treatment was changed to carbimazole (CBZ).,"['elevated hepatic enzymes', 'elevated hepatic enzymes']"
Successful treatment with carbimazole of a hyperthyroid pregnancy with hepatic impairment after propylthiouracil administration: a case report.,['hepatic impairment']
Interferon-alpha (IFN-alpha) may precipitate or exacerbate the occurrence of MPGN.,"['MPGN', 'MPGN']"
Minimal change disease in a patient receiving IFN-alpha therapy for chronic hepatitis C virus infection.,['Minimal change disease']
A 58-yr-old male patient with essential thrombocythaemia (ET) developed chronic myeloid leukaemia (CML) after continuous uneventful treatment with hydroxyurea for 18 yr.,"['chronic myeloid leukaemia', 'CML']"
Emergence of Philadelphia positive chronic myeloid leukaemia during treatment with hydroxyurea for Philadelphia negative essential thrombocythaemia.,['Philadelphia positive chronic myeloid leukaemia']
There are no previous reports in the literature about the emergence of CML during treatment with hydroxyurea.,['CML']
"His fever resolved, but he developed symptoms consistent with those of chloroquine toxicity.",['chloroquine toxicity']
OBJECTIVE: To report a case of severe chloroquine toxicity in the presence of high-grade chloroquine-resistant Plasmodium vivax.,['severe chloroquine toxicity']
Toxicity related to chloroquine treatment of resistant vivax malaria.,['Toxicity']
A 72-year-old woman with a history of thyrotoxicosis presented with sore throat and fever two weeks after starting carbimazole.,"['fever', 'sore throat']"
Treatment of carbimazole-induced agranulocytosis and sepsis with granulocyte colony stimulating factor.,"['agranulocytosis', 'sepsis']"
We present the management of agranulocytosis and neutropenic sepsis secondary to carbimazole with recombinant human granulocyte colony stimulating factor (G-CSF).,"['agranulocytosis', 'neutropenic sepsis']"
Comeoscleral perforation after pterygium excision and intraoperative mitomycin C.,['Comeoscleral perforation']
"To the best of our knowledge, corneoscleral melting in the first postoperative week after a single intraoperative application of mitomycin C has not been reported.",['corneoscleral melting']
